Name,Price,Category,Description,Condition,Sold,Photo
55" Samsung TV (Bedroom),TBD,Electronics,Large Samsung flat screen TV wall-mounted. Includes soundbar below.,Used,false,IMG_5595.JPG
Soundbar,TBD,Electronics,Black soundbar displayed below bedroom TV.,Used,false,IMG_5595.JPG
White Cube Storage Shelf with Fabric Bins,TBD,Furniture,White 8-cube storage shelf with gray fabric bin inserts.,Used,false,IMG_5595.JPG
Hue / Smart Lights (Pair),TBD,Electronics,Two smart color-changing light orbs used as TV accent lighting.,Used,false,IMG_5595.JPG
5-Tier Corner Ladder Shelf,TBD,Furniture,Dark wood 5-tier corner ladder bookshelf.,Used,false,IMG_5589.JPG
Floor Lamp with Drum Shade,TBD,Lighting,Silver pole floor lamp with gray drum shade and pull chain.,Used,false,IMG_5589.JPG
Shoe Storage Organizer (Wall Unit),TBD,Furniture,Large white wall-mounted shoe cubby organizer with multiple slots.,Used,false,IMG_5575.JPG
White Wardrobe Cabinet (Bedroom),TBD,Furniture,Tall white two-door wardrobe cabinet.,Used,false,IMG_5575.JPG
Ocean / Seascape Canvas Painting,TBD,Decor,Original or print canvas painting — teal and blue ocean/sky scene.,Used,false,IMG_5586.JPG
White Console Table (Bedroom),TBD,Furniture,White slim console table with single drawer and lower shelf.,Used,false,IMG_5586.JPG
Full Length Mirror (Bedroom),TBD,Decor,White-framed full length mirror with LED backlighting.,Used,false,IMG_5586.JPG
Small Electric Fan,TBD,Appliances,Small white desktop/tabletop fan.,Used,false,IMG_5586.JPG
Dark Wood 5-Tier Corner Ladder Shelf with Lamp,TBD,Furniture,Corner ladder shelf with built-in floor lamp.,Used,false,IMG_5587.JPG
